product_id,recall_id,source_agency,external_id,name,brand,model_number,upc,lot_codes,category,model_year
121887,25135,NHTSA,26V412000,TIFFIN GT1 2027,TIFFIN,GT1,,000261404005675796000000200,vehicle,2027
121888,25135,NHTSA,26V412000,TIFFIN GT1 2027,TIFFIN,GT1,,000261404005675796000000330,vehicle,2027
121889,25135,NHTSA,26V412000,TIFFIN ALLEGRO RED 2027,TIFFIN,ALLEGRO RED,,000261404005675799000000200,vehicle,2027
121890,25135,NHTSA,26V412000,TIFFIN ALLEGRO RED 2027,TIFFIN,ALLEGRO RED,,000261404005675799000000330,vehicle,2027
121891,25135,NHTSA,26V412000,TIFFIN ALLEGRO BAY 2027,TIFFIN,ALLEGRO BAY,,000261404005675801000000200,vehicle,2027
121892,25135,NHTSA,26V412000,TIFFIN ALLEGRO BAY 2027,TIFFIN,ALLEGRO BAY,,000261404005675801000000330,vehicle,2027
121893,25135,NHTSA,26V412000,TIFFIN ALLEGRO BUS 2027,TIFFIN,ALLEGRO BUS,,000261404005675802000000200,vehicle,2027
121894,25135,NHTSA,26V412000,TIFFIN ALLEGRO BUS 2027,TIFFIN,ALLEGRO BUS,,000261404005675802000000330,vehicle,2027
121895,25135,NHTSA,26V412000,TIFFIN ALLEGRO OPEN ROAD 2026,TIFFIN,ALLEGRO OPEN ROAD,,000261404005672535000000200,vehicle,2026
121896,25135,NHTSA,26V412000,TIFFIN ALLEGRO OPEN ROAD 2026,TIFFIN,ALLEGRO OPEN ROAD,,000261404005672535000000330,vehicle,2026
121897,25135,NHTSA,26V412000,TIFFIN OPEN TRAIL 2026,TIFFIN,OPEN TRAIL,,000261404005673905000000200,vehicle,2026
121898,25135,NHTSA,26V412000,TIFFIN OPEN TRAIL 2026,TIFFIN,OPEN TRAIL,,000261404005673905000000330,vehicle,2026
121899,25135,NHTSA,26V412000,TIFFIN ALLEGRO BAY 2026,TIFFIN,ALLEGRO BAY,,000261404005673996000000200,vehicle,2026
121900,25135,NHTSA,26V412000,TIFFIN ALLEGRO BAY 2026,TIFFIN,ALLEGRO BAY,,000261404005673996000000330,vehicle,2026
121901,25135,NHTSA,26V412000,TIFFIN ALLEGRO BUS 2026,TIFFIN,ALLEGRO BUS,,000261404005674789000000200,vehicle,2026
121902,25135,NHTSA,26V412000,TIFFIN ALLEGRO BUS 2026,TIFFIN,ALLEGRO BUS,,000261404005674789000000330,vehicle,2026
121903,25135,NHTSA,26V412000,TIFFIN GT1 2026,TIFFIN,GT1,,000261404005674850000000200,vehicle,2026
121904,25135,NHTSA,26V412000,TIFFIN GT1 2026,TIFFIN,GT1,,000261404005674850000000330,vehicle,2026
121905,25135,NHTSA,26V412000,TIFFIN ZEPHYR 2026,TIFFIN,ZEPHYR,,000261404005675792000000200,vehicle,2026
121906,25135,NHTSA,26V412000,TIFFIN ZEPHYR 2026,TIFFIN,ZEPHYR,,000261404005675792000000330,vehicle,2026
121907,25135,NHTSA,26V412000,TIFFIN PHAETON 2026,TIFFIN,PHAETON,,000261404005675794000000200,vehicle,2026
121908,25135,NHTSA,26V412000,TIFFIN PHAETON 2026,TIFFIN,PHAETON,,000261404005675794000000330,vehicle,2026
121909,25135,NHTSA,26V412000,TIFFIN BYWAY 2026,TIFFIN,BYWAY,,000261404005675797000000200,vehicle,2026
121910,25135,NHTSA,26V412000,TIFFIN BYWAY 2026,TIFFIN,BYWAY,,000261404005675797000000330,vehicle,2026
121911,25135,NHTSA,26V412000,TIFFIN ALLEGRO RED 2026,TIFFIN,ALLEGRO RED,,000261404005675798000000200,vehicle,2026
121912,25135,NHTSA,26V412000,TIFFIN ALLEGRO RED 2026,TIFFIN,ALLEGRO RED,,000261404005675798000000330,vehicle,2026
121913,25135,NHTSA,26V412000,TIFFIN WAYFARER 2026,TIFFIN,WAYFARER,,000261404005675420000000200,vehicle,2026
121914,25135,NHTSA,26V412000,TIFFIN WAYFARER 2026,TIFFIN,WAYFARER,,000261404005675420000000330,vehicle,2026
121915,25135,NHTSA,26V412000,TIFFIN ALLEGRO BREEZE 2026,TIFFIN,ALLEGRO BREEZE,,000261404005675800000000200,vehicle,2026
121916,25135,NHTSA,26V412000,TIFFIN ALLEGRO BREEZE 2026,TIFFIN,ALLEGRO BREEZE,,000261404005675800000000330,vehicle,2026
122827,25268,NHTSA,26V411000,JAYCO ALANTE 2024,JAYCO,ALANTE,,000261403005575152000000349,vehicle,2024
122828,25268,NHTSA,26V411000,ENTEGRA VISION 2024,ENTEGRA,VISION,,000261403005575149000000349,vehicle,2024
120452,24928,NHTSA,26V409000,ALTEC DIGGER DERRICK 2023,ALTEC,DIGGER DERRICK,,000261401005546944000000345,vehicle,2023
120453,24928,NHTSA,26V409000,ALTEC DIGGER DERRICK 2024,ALTEC,DIGGER DERRICK,,000261401005646733000000345,vehicle,2024
120454,24928,NHTSA,26V409000,ALTEC DIGGER DERRICK 2025,ALTEC,DIGGER DERRICK,,000261401005672084000000345,vehicle,2025
121398,25068,NHTSA,26V406000,DIAMOND COACH VIP 2026,DIAMOND COACH,VIP,,000261398005675772000002110,vehicle,2026
121399,25068,NHTSA,26V406000,DIAMOND COACH VIP 2025,DIAMOND COACH,VIP,,000261398005674107000002110,vehicle,2025
121867,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2027,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261399005674617000001748,vehicle,2027
121868,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2027,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261399005674617000000289,vehicle,2027
121869,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2026,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261399005673200000001748,vehicle,2026
121870,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2026,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261399005673200000000289,vehicle,2026
121871,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER EFX2 2026,THOMAS BUILT BUSES,SAF-T-LINER EFX2,,000261399005675848000000289,vehicle,2026
121872,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER EFX2 2027,THOMAS BUILT BUSES,SAF-T-LINER EFX2,,000261399005674618000001748,vehicle,2027
121873,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER EFX2 2027,THOMAS BUILT BUSES,SAF-T-LINER EFX2,,000261399005674618000000289,vehicle,2027
121874,25134,NHTSA,26V407000,THOMAS BUILT BUSES SAF-T-LINER EFX2 2026,THOMAS BUILT BUSES,SAF-T-LINER EFX2,,000261399005675848000001748,vehicle,2026
121917,25136,NHTSA,26V408000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2027,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261400005674617000001748,vehicle,2027
121918,25136,NHTSA,26V408000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2027,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261400005674617000000289,vehicle,2027
121919,25136,NHTSA,26V408000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2026,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261400005673200000001748,vehicle,2026
121920,25136,NHTSA,26V408000,THOMAS BUILT BUSES SAF-T-LINER HDX2 2026,THOMAS BUILT BUSES,SAF-T-LINER HDX2,,000261400005673200000000289,vehicle,2026
122829,25269,NHTSA,26V410000,NISSAN SENTRA 2025,NISSAN,SENTRA,,000261402005657229000000192,vehicle,2025
2,2,FSIS,PHA-06252026-02,21-oz. vacuum-packed packages of “PRIVATE SELECTION Honey Dijon Boneless Skinless Chicken Breasts with Rib Meat” with “BEST IF USED BY: JUN 28 2026” and lot code “15326A” printed on the packaging.,,,,PHA-06252026-02-Labels.pdf,food,
3,3,FSIS,009-2026,5-lb. plastic tub packages of “Molly’s Kitchen California Style Pasta Salad” with “USE BY JUL/16/26 430” printed on the side of the plastic tub.,,,,Recall-009-2026-Labels.pdf,food,
4,4,FSIS,PHA-06252026-01,8.7-oz. clear plastic wrapped packages of “FRESH SEASONS Kitchen Chicken Caesar Wrap” with “Sell By:6/24/2026” printed on the back label above the ingredients.,,,,PHA-06252026-01-Labels.pdf,food,
9382,10128,CPSC,26582,Treatlife Smoke and Carbon Monoxide (CO) Detectors,,,,,consumer_product,
9383,10129,CPSC,26581,Amana Window-Room-Air-Conditioners (WRAC) and Through the Wall (TTW) air conditioners or heat pumps,,,,,consumer_product,
9384,10130,CPSC,26580,Honlyne LED Party Favors,,,,,consumer_product,
9385,10131,CPSC,26507,Kids Kithmas Plaid Lounge Sets,,,,,consumer_product,
9386,10132,CPSC,26579,Small Fish Montessori Busy Board Toys,,,,,consumer_product,
9387,10133,CPSC,26578,Raychy Children's Light Sneakers Unisex,,,,,consumer_product,
9388,10134,CPSC,26577,MedPride Baby Oil,,,,,consumer_product,
9389,10135,CPSC,26576,Lomi Roll-On Waxing Kits,,,,,consumer_product,
9390,10136,CPSC,26575,"Super Off-Road 12,000 mAh Solar Wireless Power Banks",,,,,consumer_product,
9391,10137,CPSC,26574,XW-A17 Electric Youth All-Terrain Vehicles (ATVs),,,,,consumer_product,
292784,128567,FDA,FDA_ALERT:20260625:49cd1b9e00eb,Canine milk replacer,"Breeder’s Edge, Shelter’s Choice",,,,animal_veterinary,
120430,24925,NHTSA,26V403000,FORD BRONCO 2022,FORD,BRONCO,,000261395005230749000000275,vehicle,2022
120431,24925,NHTSA,26V403000,FORD BRONCO 2023,FORD,BRONCO,,000261395005543796000000275,vehicle,2023
120432,24925,NHTSA,26V403000,FORD BRONCO 2024,FORD,BRONCO,,000261395005595486000000275,vehicle,2024
120433,24925,NHTSA,26V403000,FORD BRONCO 2025,FORD,BRONCO,,000261395005662299000000275,vehicle,2025
120434,24925,NHTSA,26V403000,FORD BRONCO 2026,FORD,BRONCO,,000261395005673889000000275,vehicle,2026
120435,24926,NHTSA,26V402000,FORD EXPEDITION 2018,FORD,EXPEDITION,,000261394004228819000000180,vehicle,2018
120436,24926,NHTSA,26V402000,FORD EXPEDITION 2019,FORD,EXPEDITION,,000261394004229281000000180,vehicle,2019
120437,24926,NHTSA,26V402000,FORD EXPEDITION 2020,FORD,EXPEDITION,,000261394004229504000000180,vehicle,2020
120438,24926,NHTSA,26V402000,FORD EXPEDITION 2021,FORD,EXPEDITION,,000261394004693752000000180,vehicle,2021
120439,24926,NHTSA,26V402000,LINCOLN NAVIGATOR 2018,LINCOLN,NAVIGATOR,,000261394004228828000000180,vehicle,2018
120440,24926,NHTSA,26V402000,LINCOLN NAVIGATOR 2019,LINCOLN,NAVIGATOR,,000261394004229279000000180,vehicle,2019
120441,24926,NHTSA,26V402000,LINCOLN NAVIGATOR 2020,LINCOLN,NAVIGATOR,,000261394004267717000000180,vehicle,2020
120442,24926,NHTSA,26V402000,LINCOLN NAVIGATOR 2021,LINCOLN,NAVIGATOR,,000261394004693754000000180,vehicle,2021
120443,24926,NHTSA,26V402000,FORD EXPLORER 2020,FORD,EXPLORER,,000261394004229440000000180,vehicle,2020
120444,24926,NHTSA,26V402000,FORD EXPLORER 2021,FORD,EXPLORER,,000261394004588731000000180,vehicle,2021
120445,24926,NHTSA,26V402000,LINCOLN AVIATOR 2020,LINCOLN,AVIATOR,,000261394004229441000000180,vehicle,2020
120446,24926,NHTSA,26V402000,LINCOLN AVIATOR 2021,LINCOLN,AVIATOR,,000261394004588733000000180,vehicle,2021
120447,24926,NHTSA,26V402000,FORD F-150 2021,FORD,F-150,,000261394004588732000000180,vehicle,2021
121368,25063,NHTSA,26V401000,AIRSTREAM INTERSTATE 2026,AIRSTREAM,INTERSTATE,,000261393005672793000000200,vehicle,2026
121369,25063,NHTSA,26V401000,AIRSTREAM INTERSTATE 2027,AIRSTREAM,INTERSTATE,,000261393005675764000000330,vehicle,2027
121370,25063,NHTSA,26V401000,AIRSTREAM INTERSTATE 2027,AIRSTREAM,INTERSTATE,,000261393005675764000000200,vehicle,2027
121371,25063,NHTSA,26V401000,AIRSTREAM INTERSTATE 2026,AIRSTREAM,INTERSTATE,,000261393005672793000000330,vehicle,2026
121372,25063,NHTSA,26V401000,AIRSTREAM CLASSIC 2026,AIRSTREAM,CLASSIC,,000261393005675760000000330,vehicle,2026
121373,25063,NHTSA,26V401000,AIRSTREAM CLASSIC 2026,AIRSTREAM,CLASSIC,,000261393005675760000000200,vehicle,2026
121374,25063,NHTSA,26V401000,AIRSTREAM INTERSTATE 2025,AIRSTREAM,INTERSTATE,,000261393005672704000000330,vehicle,2025
121375,25063,NHTSA,26V401000,AIRSTREAM INTERSTATE 2025,AIRSTREAM,INTERSTATE,,000261393005672704000000200,vehicle,2025
121921,25137,NHTSA,26V404000,ELGIN PELICAN 2026,ELGIN,PELICAN,,000261396005675775000001305,vehicle,2026
121922,25137,NHTSA,26V404000,ELGIN PELICAN 2025,ELGIN,PELICAN,,000261396005675774000001305,vehicle,2025
121923,25137,NHTSA,26V404000,ELGIN PELICAN 2024,ELGIN,PELICAN,,000261396005675773000001305,vehicle,2024
122830,25270,NHTSA,26V405000,HARBINGER MOTORS STRIPPED CHASSIS 2025,HARBINGER MOTORS,STRIPPED CHASSIS,,000261397005675771000000001,vehicle,2025
120448,24927,NHTSA,26E037000,ROCKFORD FOSGATE AMPLIFIER KIT (24WRNGLR-FOX) 9999,ROCKFORD FOSGATE,AMPLIFIER KIT (24WRNGLR-FOX),,000261389005675766000000211,vehicle,
120449,24927,NHTSA,26E037000,ROCKFORD FOSGATE AMPLIFIER KIT (20GLADR-STG5) 9999,ROCKFORD FOSGATE,AMPLIFIER KIT (20GLADR-STG5),,000261389005675767000000211,vehicle,
120450,24927,NHTSA,26E037000,ROCKFORD FOSGATE AMPLIFIER KIT (24WRNGLER-STG3) 9999,ROCKFORD FOSGATE,AMPLIFIER KIT (24WRNGLER-STG3),,000261389005675768000000211,vehicle,
120451,24927,NHTSA,26E037000,ROCKFORD FOSGATE AMPLIFIER KIT (18WRNGLER-STG5) 9999,ROCKFORD FOSGATE,AMPLIFIER KIT (18WRNGLER-STG5),,000261389005675769000000211,vehicle,
121418,25070,NHTSA,26E038000,RICON S-SERIES WHEELCHAIR LIFT 9999,RICON,S-SERIES WHEELCHAIR LIFT,,000261391003427717000002103,vehicle,
121419,25070,NHTSA,26E038000,RICON K-SERIES WHEELCHAIR LIFT 9999,RICON,K-SERIES WHEELCHAIR LIFT,,000261391003427718000002103,vehicle,
122813,25265,NHTSA,26V399000,GMC SAVANA 2026,GMC,SAVANA,,000261388005672013000000001,vehicle,2026
122814,25265,NHTSA,26V399000,GMC SAVANA 2025,GMC,SAVANA,,000261388005669696000000001,vehicle,2025
122815,25265,NHTSA,26V399000,CHEVROLET EXPRESS 2025,CHEVROLET,EXPRESS,,000261388005669698000000001,vehicle,2025
122816,25265,NHTSA,26V399000,CHEVROLET EXPRESS 2026,CHEVROLET,EXPRESS,,000261388005672050000000001,vehicle,2026
251394,87177,FDA,D-0617-2026,"DULOXETINE D/R, a) 30 mg (NDC 61919-482-30), 30 Caps; b) 30 mg (NDC 61919-482-60), 60 Caps; CYMBALTA, Packaged and Distributed by Direct Rx.",,,,"Lot: a) 09JA2530, 31JA2507, expires: 04/30/2027; b) Lot: 09DE2412, 09JA2528, 29JA2511, expires: 04/30/2027.",drug,
5,5,FSIS,008-2026,13.3-oz. vacuum sealed plastic tray packages containing “POWER PLATE MEALS MEATLOAF WITH GARLIC MASHED POTATOES” and “USE BY” dates between 6/25/26 and 6/10/27.,,,,Recall-008-2026-Labels.pdf,food,
9392,10138,CPSC,26565,Arizer Solo III portable electronic vaporizers (Intergalactic/Black color only),,,628078802274,,consumer_product,
9393,10139,CPSC,26561,BABESIDE Doll and Stroller Toys,,,,,consumer_product,
9394,10140,CPSC,26566,"Pyro Diablo ""Diablo Rising"" 9 Shots",,,,,consumer_product,
9395,10141,CPSC,26562,GOPO TOYS Pull String Teething Toys,,,,,consumer_product,
9396,10142,CPSC,26568,Joolz Aer2 Car Seat Adapters for Joolz Aer 2 Stroller,,,,,consumer_product,
9397,10143,CPSC,26569,CooCooBaby Baby Loungers,,,,,consumer_product,
9398,10144,CPSC,26567,Michley Children's Pajamas,,,,,consumer_product,
9399,10145,CPSC,26563,Arrogantf Spa Drain Covers,,,,,consumer_product,
9400,10146,CPSC,26564,Veseacky Pajama Sets,,,,,consumer_product,
251475,87258,FDA,D-0628-2026,"Perampanel CIII Tablets, 6mg, Rx only, 30 Tablets, Mfd.by: Taro Pharmaceutical Industries Ltd., Haifa Bay, Israel 2624761, Dist. by: Sun Pharmaceutical Industries, Inc., Cranbury, NJ 08512, NDC 51672-4206-6",,,,"Lot AE01763, Expires 9/30/2027.",drug,
251445,87228,FDA,D-0609-2026,"Carton Label: MAJOR, Methylergonovine Maleate Tablets, USP, 0.2 mg, 20 TABLETS (2 x 10), Rx only, Packaged and Distributed by: MAJOR PHARMACEUTICALS, Indianapolis, in 46268, NDC 0904-7282-10.  Blister Label: Methylergonovine Maleate Tablets, 0.2 mg, USP, One Tablet, Major Pharm/Indianapolis, IN 46268, NDC 0904-7282-10.",,,,"Lots: N02327, expires: 09/2026; N02740, expires: 12/2026; N03069, expires: 08/2027.",drug,
251520,87303,FDA,D-0596-2026,"Buprenorphine HCl, CIII, Injection, 0.3 mg/mL, 5 x 1 mL Single Dose Vials per Carton, Rx Only, For Intramuscular or Intravenous use, Manufactured for: Endo USA, Malvern, PA 19355,  NDC 42023-179-05",,,,"Lot #:  82886, exp 09/30/2026; 89646, exp 05/31/2027",drug,
9407,10153,CPSC,26537,Kitchen HQ Thermal Insulated Bowls with Detachable Hinged Lids,,,,,consumer_product,
9408,10154,CPSC,26536,Sloosh Dive Sticks,,,812355036227,,consumer_product,
233384,69166,FDA,H-0950-2026,"Al Yaman Halawa Extra Pistachio 907g (31.994 oz) plastic jars, UPC 5 287000 098083, 12 retail units per case",,,,LOT 13286,food,
292782,128565,FDA,FDA_ALERT:20260608:f21efdf34277,Freeze Dried Chicken Recipe Cat and Dog Food,Steve’s Real Food,,,,animal_veterinary,
251318,87101,FDA,D-0610-2026,"Chlorthalidone Tablets, USP, 25 mg, [100 or 1000] Tablets pr bottle, Rx only, Manufactured by: Inventia Healthcare Limited, Additional Ambernath, M.I.D.C., Ambernath (East) - 421506, INDIA.  Distributed by: Risiong Pharma Holdings, Inc., East Brunswick, NJ 08816.  NDC 100-tablet bottle: 64980-599-01; NDC 1000-tablet bottle: 64980-599-10",,,,[100 tablet bottle] Batch RISA24001; [1000 tablet bottle]  Batch RISB24002; Exp. 04/2027,drug,
290941,126724,FDA,Z-2579-2026,"Philips Telemetry Monitor 5500 1.4 GHz. Model Number: 867232. Includes the following system descriptions: TELE Monitor 5500, 1.4 Ghz, ECG only, ex; Telemetry Monitor 5500 1.4 GHz FAST EX.",,,,"Model Number: 867232. UDI-DI: (01)00884838102842. Software Version Number: 4.0.0.0. Serial Numbers: US001A002F, US001A00AW, US001A00C9, US001A00EW, US001A00F0, US001A00GM, US001A00N4, US001A00PB, US001A00PZ, US001A00R1, US001A00UE, US001A00VU, US001A00Z4, US001A013T, US001A018A, US001A018R.",device,
292781,128564,FDA,FDA_ALERT:20260605:caf4afced7fb,"Up & Up Fragrance Free Baby Wipes – 20, 72, 216, 800, and 1200 count, Up & Up Fresh Cucumber Scented Baby Wipes – 72, 216, and 800 count",Up & Up,,,,cosmetic,
251213,86996,FDA,D-0626-2026,"Lacosamide Tablets, USP, C V, 100mg, Rx only, 60-count bottle, By: Annora Pharma Pvt., Ltd, Sangareddy -502313, Telangana, India, Manufactured for: Camber Pharmaceuticals, Inc., Piscataway, NJ 08854, NDC 31722-813-60.",,,,"Lot: A253999, A254000, Expires: 09/30/2027.",drug,
251227,87010,FDA,D-0595-2026,"Gas-X Extra Strength, SIMETHICONE 125 mg/ANTIGAS, packaged in a) 120 SoftGels (UPC 3 00674 35041 9, b) 72 SoftGels (UPC 3 00439 00572 1), Distributed by: Haleon, Warren, NJ 07059.",,,,"Lots: a) TL8K, YH9X, YH9Y, Exp. Date. 30Nov2028; b) X78N, Exp. Date 30Nov2028.",drug,
251254,87037,FDA,D-0615-2026,"Corlanor (ivabradine) tablets, 7.5mg, 60-count bottles, Rx Only, Amgen Inc., Thousand Oaks, CA 92130 Made In Italy. NDC 55513-810-60",,,,"Lot #: 1138203, 1142065, Exp. Date 07/31/2026; 1145151, 1145152, 1145153, Exp. Date 2/28/2027; 1148908, 1148909, Exp. Date 05/31/2027; 1162845, 1162846, Exp. Date 11/30/2027; 1166471, 1166472, 1166473, Exp. Date 05/31/2028; 1170615, Exp. Date 08/31/2028",drug,
251269,87052,FDA,D-0612-2026,"Corlanor (ivabradine) tablets, 5 mg, packaged in a) 14 tablets bottles (NDC 55513-800-99), and b) 60 tablet bottles (NDC 55513-800-60), Rx Only, Amgen Inc., Thousand Oaks, CA 92130 Made In Italy.",,,,"a) Lot # 1138901, Exp. Date 08/31/2026; 1149846, Exp. Date 04/30/2027 b) Lot #1138201, 1138202,  08/31/2026, 1138900, 1141143, Exp. Date 08/31/2026; 1140280, 1140281, 1142063, Exp. Date 10/31/2026; 1142062, 1142942, 1142943, Exp. Date 11/30/2026; 1144081, 1144104, Exp. Date 12/31/2026; 1146373, 1146374, Exp. Date 01/31/2027; 1147491, 1147492, 1149843, Exp. Date 03/31/2027; 1151113, 1151890, 1153401, Exp. Date 07/31/2027; 1151114, 1151115, Exp. Date 09/30/2027; 1152412, 1153399, 1153400, Exp. Date 06/30/2027; 1155834, 1155835, Exp. Date 04/30/2027; 1155836, Exp. Date 09/30/2027; 1158480, 1158481, 1158482, Exp. Date 10/31/2027; 1160354, 1160355, Exp. Date 03/31/2028; 1161593, 1161594, 1161595, Exp. Date 04/30/2028; 1164097, 1164098, 1164099, Exp. Date 06/30/2028; 1165078, 1165079, Exp Date 07/31/2028; 1165080, Exp. Date 02/29/2028;1168005, 1168006, 1168007, Exp. Date 09/30/2028; 1169288, 1169289, Exp. Date 10/31/2028; 1172885, Exp. Date 12/31/2028.",drug,
251328,87111,FDA,D-0614-2026,"Sensipar (cinacalcet) Tablets, 60mg, 30-count bottles, Rx Only, Distributed by: Amge, One Amgen Center Drive, Thousand Oaks ,CA 91320-1799, Made in Japan. NDC 55513-074-30",,,,"Lot #: 1157055, Exp. Date 1/31/2028",drug,
251330,87113,FDA,D-0627-2026,"Povi-One, 10% Povidone-Iodine Oral Antiseptic, Packaged by Elevate Oral Care, LLC, 346 Pike Road, Suite 6, West Palm Beach, FL 33411, NDC 57511-0611-1.",,,,"Lots PO062402, Exp Date 6/30/2026, PO072401, Exp Date 7/30/2026, PO092401,    Exp Date 9/30/2026, PO102401,    Exp Date 10/31/2026 & PO102402, Exp Date 10/31/2026.",drug,
251364,87147,FDA,D-0583-2026,"Duloxetine Delayed-Release Capsules, USP, 60mg, packaged in a) 90 Capsules (NDC 51991-748-90); b) 1000 Capsules (51991-748-10), Rx Only, Mfr. by: Towa Pharmaceutical Europe, S.L. Martorelles, (Barcelona), Spain, Dist. by: Breckenridge Pharmaceuticals, Inc., Berkeley Heights, NJ 07922.",,,,"Lot: a) 241074C, Exp. Date May 2027; 240317, 240318, 240315C, 240373C, 240370C, 240375C, 240413C, Exp. Date February 2027; 240316,Exp. Date January 2027; 232311, Exp. Date November 2026; b) 240978C, 241052C, Exp. Date April 2027.",drug,
251476,87259,FDA,D-0582-2026,"Duloxetine Delayed-Release Capsules, USP, 30mg, 1000 Capsule bottles, Rx only, Manufactured. by: Towa Pharmaceutical Europe, S.L. Martorelles, (Barcelona), Spain, Distributed by: Breckenridge Pharmaceuticals, Inc., Berkeley Heights, NJ 07922. NDC 51991-747-10",,,,"Lot: 241180C, Exp. Date April 2027.",drug,
251495,87278,FDA,D-0616-2026,"Sensipar (cinacalcet) Tablets, 90mg, 30-count bottles, Rx Only, Distributed by: Amge, One Amgen Center Drive, Thousand Oaks, CA 91320-1799, Made in Japan. NDC 55513-075-30",,,,"Lot #: 1157056, Exp. Date 02/29/2028",drug,
251518,87301,FDA,D-0613-2026,"Sensipar (cinacalcet) Tablets, 30mg, 30-count bottles, Rx Only, Distributed by: Amge, One Amgen Center Drive, Thousand Oaks ,CA 91320-1799, Made in Japan. NDC 55513-073-30",,,,"Lot#: 1156858, Exp. Date 12/31/2027.",drug,
233401,69183,FDA,H-0938-2026,"MMB of Louisiana Pasteurized Donor Human Milk, Volume: 3 oz, Cal/Oz: 19, 0.9 g/dL Protein, packaged in a clear plastic bottle with white plastic cap",,,,"Batch: 002307-1, 002307-2 EXP: 08/24/2026",food,
251481,87264,FDA,D-0585-2026,"Primidone Tablets, USP, 50 mg, 100 Tablets per Bottle, Rx only, Manufactured by: Amneal Pharmaceuticals Pvt. Ltd., Oral Solid Dosage Unit, Ahmedabad 382213, INDIA.  Distributed by: Amneal Pharmaceuticals LLC, Bridgewater, NJ 08807.  NDC: 53746-544-01",,,,"Lot AM251676, EXP 11/31/2028",drug,
251229,87012,FDA,D-0640-2026,"Med Pride, HYDROCORTISONE CREAM 1%, Net Wt. 1 oz (28.3g) tubes, Manufactured for: Shield Line LLC, 59 Hook Road, Bayonne, NJ 07002 USA, Made in India, UPC 3 52410 30503 0.",,,,"Lot# 001, 002, 013, 016, 031, 032, 033, 045, 046, 047, Within Expiry.",drug,
